排名,名称,链接,星级,评分,评价人数,封面图片,导演,年份
11,楚门的世界,https://movie.douban.com/subject/1292064/,4.5,9.4,1644411,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...","
                            1998 / 美国 / 剧情 科幻
                        "
12,忠犬八公的故事,https://movie.douban.com/subject/3011091/,4.5,9.4,1365205,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p524964039.jpg,"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...","
                            2009 / 美国 英国 / 剧情
                        "
13,海上钢琴师,https://movie.douban.com/subject/1292001/,4.5,9.3,1636931,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...","
                            1998 / 意大利 / 剧情 音乐
                        "
14,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,4.5,9.2,1815196,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,"
                            导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...","
                            2009 / 印度 / 剧情 喜剧 爱情 歌舞
                        "
15,放牛班的春天,https://movie.douban.com/subject/1291549/,4.5,9.3,1279392,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg,"
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 让-巴蒂斯特·莫尼...","
                            2004 / 法国 瑞士 德国 / 剧情 音乐
                        "
16,机器人总动员,https://movie.douban.com/subject/2131459/,4.5,9.3,1284379,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,"
                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...","
                            2008 / 美国 / 科幻 动画 冒险
                        "
17,无间道,https://movie.douban.com/subject/1307914/,4.5,9.3,1321976,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,"
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...","
                            2002 / 中国香港 / 剧情 犯罪 惊悚
                        "
18,疯狂动物城,https://movie.douban.com/subject/25662329/,4.5,9.2,1871822,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg,"
                            导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...","
                            2016 / 美国 / 喜剧 动画 冒险
                        "
19,控方证人,https://movie.douban.com/subject/1296141/,5,9.6,529540,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,"
                            导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...","
                            1957 / 美国 / 剧情 犯罪 悬疑
                        "
20,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,4.5,9.2,1494581,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...","
                            1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装
                        "
21,熔炉,https://movie.douban.com/subject/5912992/,4.5,9.4,909342,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,"
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...","
                            2011 / 韩国 / 剧情
                        "
22,教父,https://movie.douban.com/subject/1291841/,4.5,9.3,938225,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...","
                            1972 / 美国 / 剧情 犯罪
                        "
23,当幸福来敲门,https://movie.douban.com/subject/1849031/,4.5,9.2,1482526,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg,"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...","
                            2006 / 美国 / 剧情 传记 家庭
                        "
24,触不可及,https://movie.douban.com/subject/6786002/,4.5,9.3,1077169,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,"
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...","
                            2011 / 法国 / 剧情 喜剧
                        "
25,怦然心动,https://movie.douban.com/subject/3319755/,4.5,9.1,1786371,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,"
                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...","
                            2010 / 美国 / 剧情 喜剧 爱情
                        "
26,龙猫,https://movie.douban.com/subject/1291560/,4.5,9.2,1231946,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...","
                            1988 / 日本 / 动画 奇幻 冒险
                        "
27,末代皇帝,https://movie.douban.com/subject/1293172/,4.5,9.3,849717,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,"
                            导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...","
                            1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史
                        "
28,寻梦环游记,https://movie.douban.com/subject/20495023/,4.5,9.1,1621502,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500706.jpg,"
                            导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...","
                            2017 / 美国 / 喜剧 动画 奇幻 音乐
                        "
29,活着,https://movie.douban.com/subject/1292365/,4.5,9.3,818194,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg,"
                            导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang","
                            1994 / 中国大陆 中国香港 / 剧情 历史 家庭
                        "
30,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,4.5,9.2,1028634,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...","
                            2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
                        "
31,哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,4.5,9.2,1148791,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg,"
                            导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint","
                            2001 / 美国 英国 / 奇幻 冒险
                        "
